,Date,Time (hrs),Sun Az°,Sun Altitude°,Sun Distance AU,Air Mass,Ext. Factor,Sun-panels angle°,Solar constant W/m²,Ext. Radiation W/m²,DNI (clear sky) W/m²,Direct Insolation W/m²
3269,2021-08-06,19,108.09134983377437,-4.266331079378466,1.0142388255582127,inf,inf,90.0,1361.5,1323.5403398963754,0.0,0.0
3270,2021-08-07,5,-111.61487803141596,-16.141490681957556,1.0141767958291992,inf,inf,90.0,1361.5,1323.7022472869821,0.0,0.0
3271,2021-08-07,6,-107.42125738120248,-1.5918349547411355,1.014170553656349,inf,inf,90.0,1361.5,1323.7185419893447,0.0,0.0
3272,2021-08-07,7,-104.35486527946752,11.833646544151854,1.014164304368057,4.741849564999341,2.4774122678272716,84.7308900665507,1361.5,1323.7348555674062,534.3215873910004,49.06875274563758
3273,2021-08-07,8,-102.10476061618812,26.02167021636568,1.0141580479672005,2.2665105398174576,1.7372847059264975,70.86532622062013,1361.5,1323.7511880146935,761.9656027011038,249.76447272616747
3274,2021-08-07,9,-100.59242430226904,40.3415180338538,1.0141517844566592,1.5416790730158907,1.5321053538820355,57.42130184718214,1361.5,1323.7675393247268,864.0186107114474,465.2373309868479
3275,2021-08-07,10,-100.06474306239036,54.71977275133338,1.0141455138395274,1.2240529631406936,1.4426641749168856,44.837464889618204,1361.5,1323.7839094904673,917.5967162050952,650.676855710086
3276,2021-08-07,11,-101.89419922982195,69.08143805927386,1.0141392361186925,1.0703174976080418,1.3993727114136556,34.10217142003541,1361.5,1323.800298505417,945.9955076357786,783.3212561562041
3277,2021-08-07,12,-119.42505560787453,82.99532078219421,1.0141329512970447,1.0074961620265723,1.3816739442960082,27.487616065355514,1361.5,1323.8167063630708,958.1252594566247,849.9630881673926
3278,2021-08-07,13,112.87153670057782,80.99538178477677,1.0141266593776885,1.0124381209232969,1.3830664955838248,28.080785900759963,1361.5,1323.833133056365,957.1724405756385,844.4986665024263
3279,2021-08-07,14,101.21045921157584,66.90107219305033,1.014120360363522,1.0868506351173115,1.4040296066273845,35.52265845833853,1361.5,1323.8495785787757,942.8929221505456,767.4071670293646
3280,2021-08-07,15,99.95412628825115,52.525157830114054,1.0141140542574454,1.258929981161607,1.452483211172795,46.63993862301599,1361.5,1323.8660429237739,911.4501515338203,625.7842447810431
3281,2021-08-07,16,100.66507906290764,38.1464957472432,1.0141077410625747,1.6152139817121116,1.5528305381054548,59.398023099947586,1361.5,1323.8825260842675,852.5608516815252,434.01410250691225
3282,2021-08-07,17,102.28487627283185,23.832933135768773,1.0141014207818173,2.4579318535153645,1.7919747300638027,72.92988683720756,1361.5,1323.8990280537105,738.7933578765218,216.86667369858017
3283,2021-08-07,18,104.63490274839633,9.667543857627988,1.0140950934180835,5.714779536609247,2.793783817975142,86.83557742735789,1361.5,1323.9155488255492,473.87902396295175,26.15884205000808
3284,2021-08-07,19,107.82765593005614,-4.385094323025133,1.0140887589745,inf,inf,90.0,1361.5,1323.9320883926653,0.0,0.0
3285,2021-08-08,5,-111.32758484725615,-16.205160474303774,1.014025025801989,inf,inf,90.0,1361.5,1324.098516324318,0.0,0.0
3286,2021-08-08,6,-107.14037361165497,-1.638599343222455,1.0140186136772031,inf,inf,90.0,1361.5,1324.1152621939598,0.0,0.0
3287,2021-08-08,7,-104.06586632238279,11.813361941785253,1.0140121945086573,4.749434450595913,2.4798166357625218,84.64022427227037,1361.5,1324.1320267772494,533.9636841213828,49.877205943107484
3288,2021-08-08,8,-101.78897630676342,26.018564621523645,1.014005768299309,2.2667588963006153,1.7373554871066814,70.75140847562592,1361.5,1324.1488100675185,762.1634259046778,251.2604632387103
3289,2021-08-08,9,-100.22022955890019,40.355168179033825,1.0139993350521197,1.5412495964210582,1.5319843419114418,57.277613284202694,1361.5,1324.1656120580897,864.346701093525,467.2390974870784
3290,2021-08-08,10,-99.57573888193443,54.752187741523635,1.01399289477027,1.2235655442514384,1.442526947524579,44.653577157639354,1361.5,1324.182432741713,917.9602745127577,653.0086229748641
3291,2021-08-08,11,-101.1148619628632,69.14189814854147,1.0139864474567277,1.0698880849530799,1.399251753445009,33.865309018316005,1361.5,1324.199272111696,946.3624175216996,785.8118743043669
3292,2021-08-08,12,-117.44756784231996,83.15058842420406,1.0139799931144646,1.0071655789320386,1.3815807905756357,27.205455000963784,1361.5,1324.2161301613355,958.4789678565238,852.4451713128029
3293,2021-08-08,13,111.09628896094601,81.06213800452149,1.013973531746671,1.0122525168061518,1.3830141966354972,27.821996913927993,1361.5,1324.2330068833583,957.4977683561472,846.8128030049684
3294,2021-08-08,14,100.48449485484551,66.89387105022699,1.0139670633563265,1.0869086970731046,1.404045960299012,35.33632415438873,1361.5,1324.249902271042,943.1670612755609,769.4084104739183
3295,2021-08-08,15,99.48880119702297,52.492177157247916,1.013960587946411,1.2594834227147809,1.4526390209132782,46.51507937018228,1361.5,1324.2668163176643,911.6282829061648,627.3494415481964
3296,2021-08-08,16,100.30825868099261,38.095468294604245,1.013954105520128,1.617035236908773,1.5533439955554262,59.31607656052272,1361.5,1324.2837490159202,852.5373341675026,435.0511936508024
3297,2021-08-08,17,101.98166667555262,23.76558996540122,1.0139476160804646,2.4643897910354355,1.793824789475489,72.87872588577953,1361.5,1324.300700359069,738.2553235571529,217.33881926838583
3298,2021-08-08,18,104.35806637364287,9.58385360643401,1.0139411196304127,5.760300573387127,2.8089857926278805,86.80770558390272,1361.5,1324.317670340359,471.45758936054455,26.25416550590683
3299,2021-08-08,19,107.56030389256671,-4.506293896412318,1.013934616173185,inf,inf,90.0,1361.5,1324.334658952462,0.0,0.0
3300,2021-08-09,5,-111.03503282158452,-16.267551420127997,1.0138691968793192,inf,inf,90.0,1361.5,1324.5055682445059,0.0,0.0
3301,2021-08-09,6,-106.85469337898795,-1.6843957703955763,1.013862616545718,inf,inf,90.0,1361.5,1324.522761336819,0.0,0.0
3302,2021-08-09,7,-103.77213692811047,11.794401782619781,1.0138560292420196,4.756545988800087,2.482071821902514,84.54637590506692,1361.5,1324.5399729759024,533.64288707836,50.71743885112719
3303,2021-08-09,8,-101.46812975178973,26.016665756904775,1.0138494349712612,2.266910779660252,1.7373987738209236,70.63429486247296,1361.5,1324.5572031548932,762.3794969314381,252.80237186021554
3304,2021-08-09,9,-99.84205109747374,40.369770987795235,1.0138428337364846,1.5407905063738783,1.5318549862505433,57.13062691836076,1361.5,1324.5744518669178,864.6865817952016,469.2875106207475
3305,2021-08-09,10,-99.07851017689978,54.785048986564206,1.0138362255409563,1.223072208281489,1.4423880541443677,44.466109309235335,1361.5,1324.591719104516,918.3324246887713,655.3816318865295
3306,2021-08-09,11,-100.31987891160487,69.20160837752275,1.013829610387725,1.069465500005119,1.3991327184599933,33.62424556266085,1361.5,1324.609004860797,946.7357795183123,788.3345668222731
3307,2021-08-09,12,-115.35614435913548,83.30136399995425,1.0138229882798413,1.0068518185888566,1.3814923770850998,26.91859700952754,1361.5,1324.626309128865,958.8372191555482,854.9478122579621
3308,2021-08-09,13,109.26509707876836,81.11926779702104,1.0138163592205836,1.012094818585562,1.3829697608741631,27.560404935948966,1361.5,1324.643631901231,957.8254488109236,849.1348027103633
3309,2021-08-09,14,99.74776838643214,66.88120925489996,1.013809723213009,1.087010844138448,1.4040747309269765,35.14969737064628,1361.5,1324.6609731709837,943.4405049768515,771.404751644012
3310,2021-08-09,15,99.01724028537102,52.45487440900902,1.0138030802601798,1.2601104790021893,1.4528155552626976,46.391116091906014,1361.5,1324.6783329311986,911.8007637877134,628.8980010036985
3311,2021-08-09,16,99.94676573184694,38.040617481228054,1.0137964303653835,1.6189989509936435,1.553897624676151,59.23549340682169,1361.5,1324.6957111743645,852.4987039930932,436.0621755108951
3312,2021-08-09,17,101.67449849334473,23.694692330540285,1.0137897735316883,2.4712287361806515,1.7957843743888304,72.82910277731203,1361.5,1324.7131078935422,737.6793822166926,217.77976424394384
3313,2021-08-09,18,104.07758741512964,9.496792537633894,1.0137831097621663,5.808413533503861,2.825092742176393,86.78138150049674,1361.5,1324.7305230817838,468.9157645356587,26.32772082516261
3314,2021-08-09,19,107.28936658941838,-4.629915505195101,1.0137764390601156,inf,inf,90.0,1361.5,1324.7479567315513,0.0,0.0
3315,2021-08-10,5,-110.7373103651413,-16.328625346793487,1.0137093514415059,inf,inf,90.0,1361.5,1324.9233070455448,0.0,0.0
3316,2021-08-10,6,-106.56430334943465,-1.7291356921665513,1.0137026046895776,inf,inf,90.0,1361.5,1324.9409433001663,0.0,0.0
3317,2021-08-10,7,-103.47376212900427,11.776754493900636,1.013695851043179,4.763184187995687,2.4841776618564095,84.44938341429292,1361.5,1324.958597929864,533.3590339668908,51.58919200935065
3318,2021-08-10,8,-101.14230613359183,26.015937559161788,1.0136890905054292,2.266969031601186,1.737415375650212,70.51404327003995,1361.5,1324.9762709275747,762.6134138658202,254.3893846196265
3319,2021-08-10,9,-99.45797621089568,40.38526092418577,1.0136823230794485,1.540303933089561,1.5317178871922128,56.98042048128825,1361.5,1324.9939622862316,865.037859363955,471.3812742273242
3320,2021-08-10,10,-98.5731461922406,54.81824675387466,1.013675548768589,1.222574629812841,1.442247966232686,44.27515717877413,1361.5,1325.011671998163,918.7128032215172,657.7942252025648
3321,2021-08-10,11,-99.50931689426152,69.26035978601381,1.0136687675759788,1.0690511550303141,1.399016004283289,33.37908093547343,1361.5,1325.0294000562824,947.1152552933733,790.8874495715887
3322,2021-08-10,12,-113.14546098914812,83.44669370418276,1.0136619795047488,1.0065561498352864,1.3814090613964214,26.627125282275593,1361.5,1325.0471464534978,959.19969217087,857.4690409297888
3323,2021-08-10,13,107.3817394824397,81.16613338493258,1.0136551845582615,1.0119662384797459,1.382933529899782,27.296146430192763,1361.5,1325.0649111821115,958.1551698136467,851.4627503286346
3324,2021-08-10,14,99.00091388739536,66.86294421965836,1.0136483827396547,1.0871583214693754,1.4041162692021474,34.9629271617702,1361.5,1325.0826942350136,943.7129412281203,773.394462109912
3325,2021-08-10,15,98.53971932509593,52.41318837939759,1.0136415740520692,1.2608125856532904,1.4530132183715527,46.26815537657425,1361.5,1325.1004956050876,911.9672683295877,630.4284949404826
3326,2021-08-10,16,99.58076883678584,37.98192071926231,1.013634758498879,1.6211072648557894,1.554492031144304,59.156339553502235,1361.5,1325.1183152846063,852.4445855853958,437.04600291627617
3327,2021-08-10,17,101.36349194413798,23.62024352171804,1.01362793608323,2.4784549492078507,1.7978553457703697,72.78105144579406,1361.5,1325.1361532664405,737.0649459557204,218.18888291835583
3328,2021-08-10,18,103.7935583040306,9.406386105112775,1.013621106808275,5.859213201948229,2.842143128943836,86.75661153109182,1361.5,1325.154009543444,466.2516803071358,26.37939164478567
3329,2021-08-10,19,107.01491634221009,-4.756078724412734,1.013614270677397,inf,inf,90.0,1361.5,1325.1718841078675,0.0,0.0
3330,2021-08-11,5,-110.43450781585044,-16.388346691667294,1.0135455330015717,inf,inf,90.0,1361.5,1325.3516339488137,0.0,0.0
3331,2021-08-11,6,-106.26929141020194,-1.7727348580468905,1.0135386216688111,inf,inf,90.0,1361.5,1325.3697091897607,0.0,0.0
3332,2021-08-11,7,-103.17082782939175,11.760405900494362,1.0135317035191604,4.769350359879986,2.486134415858224,84.3492882914889,1361.5,1325.3878026292696,533.1118841262411,52.49218117557684
3333,2021-08-11,8,-100.81159145628439,26.01634142836762,1.0135247785558152,2.2669367238036107,1.7374061679104909,70.3907145116016,1361.5,1325.405914260087,762.8647455845629,256.02064116944433
3334,2021-08-11,9,-99.06809348937254,40.40156998377372,1.0135178467819774,1.5397920813152293,1.5315736660261414,56.82707459938111,1361.5,1325.4240440749452,865.4001263379795,473.5190460437144
3335,2021-08-11,10,-98.0597399075748,54.85166876476686,1.013510908201082,1.222074510974744,1.4421071630029203,44.08081958926042,1361.5,1325.442192065966,919.1010391391295,660.2447076049633
3336,2021-08-11,11,-98.68326468803137,69.31793966599717,1.0135039628163365,1.0686464693370217,1.3989020107264465,33.12991780174802,1361.5,1325.4603582258671,947.500502581706,793.4686124468786
3337,2021-08-11,12,-110.81086063323262,83.58555162578828,1.0134970106309515,1.0062798367159258,1.3813311997319349,26.33112417856359,1361.5,1325.4785425473583,959.5660641014874,860.0068755851776
3338,2021-08-11,13,105.45069858483194,81.20212403660548,1.0134900516483725,1.0118679749754713,1.3829058414397413,27.02936067866081,1361.5,1325.4967450225363,958.4866194813115,853.794733862201
3339,2021-08-11,14,98.24458712287655,66.83894187066598,1.0134830858718178,1.0873523518054877,1.4041709194925756,34.776163254077645,1361.5,1325.5149656440908,943.9840600908409,775.3758310068625
3340,2021-08-11,15,98.05651804984016,52.36706317609666,1.0134761133045067,1.2615911462210427,1.45323240535806,46.146302125029955,1361.5,1325.5332044047113,912.1274749430838,631.93952498599
3341,2021-08-11,16,99.21043759747373,37.919359626732586,1.0134691339498962,1.6233622821656393,1.5551278103632964,59.0786783800189,1361.5,1325.5514612964641,852.3746102815817,438.00166925847986
3342,2021-08-11,17,101.04876731881234,23.54225047118571,1.0134621478112134,2.4860747569880557,1.8000395895856056,72.73460307012598,1361.5,1325.5697363120191,736.4114344936069,218.5655911814621
3343,2021-08-11,18,103.5060711467929,9.312663150746324,1.0134551548916881,5.912800030455433,2.8601780518182034,86.7333991842228,1361.5,1325.5880294440374,463.4634646613579,26.40910206032978
3344,2021-08-11,19,106.73702488956467,-4.8854083627493425,1.0134481551947885,inf,inf,90.0,1361.5,1325.6063406845592,0.0,0.0
3345,2021-08-12,5,-110.12671737935919,-16.446682533844786,1.0133777861965303,inf,inf,90.0,1361.5,1325.7904474022873,0.0,0.0
3346,2021-08-12,6,-105.96974662394592,-1.8151143622119539,1.0133707121670745,inf,inf,90.0,1361.5,1325.8089573380873,0.0,0.0
3347,2021-08-12,7,-102.86342078005615,11.745339247873268,1.0133636314002423,4.775047119811568,2.4879427695262324,84.24613504516016,1361.5,1325.8274852911302,532.9011187598987,53.42609660661452
3348,2021-08-12,8,-100.4760725543912,26.01783627461468,1.0133565438993084,2.2668171514710966,1.7373720897946483,70.26437229213107,1361.5,1325.8460312539657,763.133032378042,257.69523489678375
3349,2021-08-12,9,-98.67249289786685,40.418627766573046,1.0133494496675526,1.5392572267002904,1.5314229640147352,56.670672764279,1361.5,1325.8645952191318,865.7729617318018,475.69943844818454
3350,2021-08-12,10,-97.53838832913763,54.885200320572295,1.0133423487084945,1.2215735790613962,1.4419661307547762,43.883198339871505,1361.5,1325.8831771785387,919.496754396391,662.7313469853161
3351,2021-08-12,11,-97.8418349404147,69.37413188219617,1.0133352410254193,1.0682528675990755,1.3987911391154277,32.87686163434299,1361.5,1325.901777124711,947.8911754925681,796.0761210077624
3352,2021-08-12,12,-108.34866667776144,83.71684204470279,1.0133281266216154,1.0060241372529715,1.3812591466175872,26.030679196861247,1361.5,1325.920395050164,959.9360107747078,862.5593246001724
3353,2021-08-12,13,103.4771397289992,81.22666471043445,1.013321005500614,1.0118012118762156,1.382887029079974,26.760189841285836,1361.5,1325.939030946779,958.8194863819916,856.1288464290236
3354,2021-08-12,14,97.47946339905505,66.80907713854774,1.0133138776657105,1.0875941346988796,1.4042390196256187,34.58955592196995,1361.5,1325.9576848070558,944.2535539003657,777.3471667578109
3355,2021-08-12,15,97.56791960027515,52.31644835553189,1.013306743120202,1.2624475316041643,1.4534735021458287,46.025659420377735,1361.5,1325.9763566234872,912.2810664700032,633.4297240376619
3356,2021-08-12,16,98.8359423533586,37.852920076611824,1.0132996018676301,1.6257660688164413,1.5558055473178416,59.002570650114095,1361.5,1325.995046387929,852.2884165530207,438.92820763743714
3357,2021-08-12,17,100.73044485089711,23.46072376855853,1.0132924539112997,2.494094554622467,1.8023390176079421,72.68978603227842,1361.5,1326.013754092856,735.7182756065154,218.90934732017146
3358,2021-08-12,18,103.21521765392885,9.215655895584806,1.0132852992545192,5.969280511939875,2.8792414498723593,86.71174511661188,1361.5,1326.0324797307344,460.54924632650005,26.41681679163584
3359,2021-08-12,19,106.45576335348755,-5.024831058808081,1.013278137900839,inf,inf,90.0,1361.5,1326.051223293396,0.0,0.0
3360,2021-08-13,5,-109.81403307302622,-16.503602636146212,1.013206156778413,inf,inf,90.0,1361.5,1326.2396430840877,0.0,0.0
3361,2021-08-13,6,-105.66575918198821,-1.8562015076512366,1.013198921982658,inf,inf,90.0,1361.5,1326.2585833079445,0.0,0.0
3362,2021-08-13,7,-102.55162855468575,11.731535226248502,1.0131916805309602,4.7802783832704785,2.4896038332333927,84.13997117454977,1361.5,1326.277541362921,532.7263412992129,54.39060227961827
3363,2021-08-13,8,-100.13583710406236,26.020378565729324,1.0131844324266712,2.266613826607507,1.7373141424357552,70.13508317513866,1361.5,1326.2965172413749,763.4177865966577,259.41221304566386
3364,2021-08-13,9,-98.27126585604643,40.43636155762209,1.0131771776731495,1.5387017119783142,1.5312664413159822,56.51130129786165,1361.5,1326.3155109356467,866.155931554146,477.9210193142271
3365,2021-08-13,10,-97.00919278517243,54.91872443312858,1.0131699162739969,1.2210735841951768,1.4418253622164512,43.68239819491426,1361.5,1326.3345224374389,919.899564256885,665.2523757498864
3366,2021-08-13,11,-96.98516608426769,69.4287172226614,1.013162648232577,1.067871778224079,1.3986837918307886,32.62002074390009,1361.5,1326.3535517390792,948.2869248116233,798.7080181292708
